time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637424	0.735886	4.6548	1.12822	0.110638	radar	16.483	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03655	0.612562	4.76678	0.0190081	0.00864421	lidar	5.13016	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23992	0.512155	4.8969	0.0152856	0.0443299	radar	2.4028	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54072	0.562552	4.93285	0.0687031	0.0722974	lidar	1.20531	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78633	0.561675	5.32467	0.0824192	0.18756	radar	1.7136	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08844	0.602405	5.3597	0.09889	0.209003	lidar	0.760975	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30947	0.643359	5.22874	0.138852	0.234659	radar	1.79695	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.5868	0.675653	5.2557	0.135543	0.190254	lidar	0.278846	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86026	0.663975	5.29209	0.07511	-0.0464671	radar	0.355192	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09973	0.670978	5.26651	0.0624174	-0.0890048	lidar	0.493368	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39267	0.561463	5.33819	-0.110687	-0.625682	radar	2.37022	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70106	0.450884	5.42048	-0.24464	-0.923641	lidar	3.38068	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98146	0.537145	5.4501	-0.0970151	-0.368377	radar	3.64432	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.26009	0.531218	5.45038	-0.092417	-0.309294	lidar	0.277142	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51909	0.570696	5.34794	-0.0470064	-0.169503	radar	1.32144	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7069	0.685468	5.1672	0.0636691	0.0853012	lidar	10.0966	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9589	0.683168	5.0775	0.0517292	0.0548786	radar	1.51693	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26283	0.674096	5.16192	0.0337268	0.0165155	lidar	3.55735	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52386	0.67951	5.25289	0.0329025	0.0130029	radar	1.66732	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82344	0.691177	5.31227	0.0340164	0.0141675	lidar	2.10416	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.0654	0.616214	5.1761	-0.0236041	-0.0800424	radar	3.74901	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32123	0.729248	5.16351	0.0516051	0.0414923	lidar	3.32951	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57126	0.761884	5.11367	0.0658592	0.0593955	radar	0.32329	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.81983	0.757267	5.10451	0.0559058	0.0414023	lidar	0.197821	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06116	0.741498	4.96268	0.0404695	0.0181861	radar	2.39464	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27827	0.823079	4.91538	0.082507	0.0707665	lidar	2.29825	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.5763	0.834878	5.14463	0.0792825	0.0620846	radar	5.22332	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83007	0.811521	5.13821	0.0594828	0.0350777	lidar	0.589976	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
